Tikra,Prognozuota
49.784508,49.907288
36.926132,38.229378
50.54937,49.95443
50.21258,49.692154
50.64765,50.34076
49.921715,50.100937
40.514687,39.867332
39.672794,40.45102
50.40931,49.421036
40.22772,40.826714
50.184948,50.868885
49.793003,49.70439
50.301888,50.038372
40.11592,40.756668
50.8059,50.0139
39.674812,40.153503
40.002907,40.244576
49.64985,49.428505
39.073475,41.89487
39.022675,40.20169
50.130524,50.029243
48.29413,48.492607
50.275787,50.04628
49.219433,49.425026
41.376564,40.78697
50.714756,49.740044
39.728783,40.202614
39.381363,39.942863
49.196667,49.259686
50.49541,50.39584
49.733192,49.883392
51.51496,51.15007
50.303085,50.249924
39.48972,40.82096
49.215546,49.81651
49.692905,49.447998
50.227646,49.964752
50.264862,50.073257
50.49034,50.1136
39.344303,39.894585
39.46087,39.97912
41.119392,41.316154
50.87838,50.764584
40.396637,40.499744
49.770683,50.250156
49.42645,49.35367
48.8356,49.0125
50.099285,50.03009
50.111008,49.72709
49.987713,49.603733
51.758842,50.559803
49.731613,49.69158
50.151047,50.29412
51.007523,50.518604
50.402718,50.61677
49.14258,49.38955
49.530354,50.016624
50.27431,49.965744
50.672047,49.85051
49.316006,49.365158
49.905907,49.554127
49.725067,49.342785
42.23118,40.940903
39.92249,40.3667
49.736298,49.94699
50.983887,50.814533
49.84118,49.820007
39.30141,40.17919
39.26498,39.889168
49.014362,48.745667
40.238342,40.326702
39.615326,39.069126
50.61487,50.81653
49.99639,49.068344
40.1533,40.526737
49.238937,49.675682
39.22786,40.168083
49.942924,49.676556
48.903297,48.788715
50.50422,49.876484
37.699196,38.75971
49.75104,49.706055
49.02011,49.440674
49.774464,49.85949
51.134304,50.469513
40.125393,40.800236
50.3897,50.00965
48.98234,49.106964
49.65151,48.92543
50.79638,50.532085
43.7258,41.664833
49.857918,49.79298
39.99971,40.391884
39.965748,40.031475
49.326527,49.151314
39.30179,39.943123
49.63759,49.789906
50.47183,50.50672
51.235714,50.728035
52.703854,54.337566
48.911476,49.73848
50.19309,50.608295
49.90315,49.610588
49.361477,49.28148
39.564266,40.474583
50.018604,49.824753
49.577263,49.95681
49.613438,49.879845
50.465725,50.706146
49.07837,49.030205
40.03094,40.67977
40.680588,40.959206
49.439953,49.877945
50.877728,50.359203
40.10694,40.253166
50.079468,50.252
49.54216,49.626823
40.658436,40.169655
48.218388,49.226097
49.724297,49.863728
49.75833,49.714417
50.119328,50.136024
43.06223,40.50016
50.279804,49.552452
40.2938,40.45011
49.4332,49.437057
48.789078,48.718452
49.740707,50.010735
39.087803,40.454422
51.045605,49.895332
48.192642,47.95113
39.392662,40.370605
49.168274,49.461494
50.040977,49.717888
50.842884,50.445934
38.46406,40.73799
40.509945,40.377613
38.550938,39.003372
50.343872,50.027798
43.47723,42.960186
38.829517,39.218536
49.80441,50.193707
50.789543,49.94142
49.30069,49.418205
49.63621,50.082012
40.540604,40.839874
50.045773,49.782974
39.68433,40.250725
50.429836,49.78755
49.940987,49.904053
50.138535,50.005306
50.80997,50.43262
39.879566,40.330593
40.002632,40.115868
40.061466,39.982613
51.068615,50.52162
50.509575,49.996384
49.8244,49.704002
50.46559,50.339058
50.952194,50.737976
40.31015,40.86794
50.08306,49.753258
40.504417,39.974564
48.976963,49.277664
49.762886,49.964973
39.869095,41.31923
50.556965,50.03255
50.312252,50.33038
41.325546,41.088615
43.118927,43.35753
49.88629,49.683044
50.498344,49.64022
49.914913,49.575367
50.15247,50.05939
39.988052,40.32726
48.461166,48.353603
50.00738,49.907272
49.75524,49.753822
40.743618,40.622524
39.604572,40.45181
37.21747,39.54387
40.072456,40.098022
40.483707,40.86106
39.52546,40.331783
40.797165,40.1251
49.470837,49.814095
50.073124,50.078983
49.597923,49.519485
48.837334,48.71067
50.11022,50.282276
40.460117,40.537403
40.258015,40.271935
49.719112,49.67638
49.587555,50.37549
50.67339,50.5203
50.22585,49.515907
50.318226,50.372116
50.86924,50.75541
50.332096,50.123276
50.765903,50.01986
50.141087,49.755127
40.543198,40.70683
49.51708,49.497353
49.92079,49.49611
49.62803,50.02968
41.942417,39.67344
39.149265,40.09414
39.217205,40.08412
30.986616,30.030338
50.17871,49.658302
49.904682,49.309944
50.396027,50.198967
49.63544,49.71129
50.00372,49.91562
37.23579,38.09604
41.557728,40.702515
38.204136,39.639107
49.897633,49.923462
49.699844,50.013863
42.454987,41.18052
39.42951,40.718987
50.051403,49.78694
50.528297,50.18766
40.19122,40.333687
47.999283,48.454384
49.057064,49.65766
42.700275,42.659363
42.27708,42.979218
49.035496,48.543724
38.789295,39.50421
50.432365,49.873642
50.7574,50.436424
49.92054,50.128464
49.87566,49.700512
49.6353,49.451225
38.14305,39.724136
39.596607,40.09517
50.269653,50.276653
39.08285,40.12188
43.118786,42.00929
39.57286,40.088463
28.256573,25.081013
50.247356,50.35318
39.805397,40.094368
39.99012,40.44596
50.90981,50.341576
50.68282,50.124023
49.441746,49.42726
39.696808,40.33114
48.776783,48.9232
49.153713,49.356873
