Tikra,Prognozuota
49.784508,50.161934
36.926132,35.823406
50.54937,50.090225
50.21258,50.004772
50.64765,50.458443
49.921715,50.337715
40.514687,39.442837
39.672794,40.16268
50.40931,49.759678
40.22772,40.563168
50.184948,50.914783
49.793003,50.168858
50.301888,50.25103
40.11592,40.791496
50.8059,50.237865
39.674812,39.838192
40.002907,40.315838
49.64985,49.578793
39.073475,42.607456
39.022675,40.092026
50.130524,50.238827
48.29413,48.798145
50.275787,50.239536
49.219433,49.707844
41.376564,40.922634
50.714756,50.085224
39.728783,39.957623
39.381363,39.85085
49.196667,49.502995
50.49541,50.525078
49.733192,50.007298
51.51496,51.497776
50.303085,50.53161
39.48972,40.43835
49.215546,49.939953
49.692905,49.627773
50.227646,50.34466
50.264862,50.276836
50.49034,50.125957
39.344303,39.65346
39.46087,39.88255
41.119392,40.72417
50.87838,50.969765
40.396637,40.227974
49.770683,50.41933
49.42645,49.367138
48.8356,49.224636
50.099285,50.26329
50.111008,49.963055
49.987713,49.89566
51.758842,50.787655
49.731613,49.99457
50.151047,50.36495
51.007523,50.700138
50.402718,50.782696
49.14258,49.688274
49.530354,50.18436
50.27431,50.03215
50.672047,49.998867
49.316006,49.754322
49.905907,49.702927
49.725067,49.541454
42.23118,40.988712
39.92249,40.16634
49.736298,50.181725
50.983887,50.99231
49.84118,50.13602
39.30141,39.897247
39.26498,39.643124
49.014362,48.95974
40.238342,40.08593
39.615326,38.692078
50.61487,50.90326
49.99639,49.44833
40.1533,40.243454
49.238937,49.94695
39.22786,40.12743
49.942924,49.957073
48.903297,49.177845
50.50422,50.13534
37.699196,38.032764
49.75104,49.933956
49.02011,49.756306
49.774464,50.00848
51.134304,50.61012
40.125393,40.581074
50.3897,50.198692
48.98234,49.205486
49.65151,49.151463
50.79638,50.83015
43.7258,41.701393
49.857918,49.998875
39.99971,40.223907
39.965748,39.907776
49.326527,49.328793
39.30179,39.69523
49.63759,49.86603
50.47183,50.729385
51.235714,50.95613
52.703854,51.92863
48.911476,49.948586
50.19309,50.625484
49.90315,49.95434
49.361477,49.51261
39.564266,40.572285
50.018604,50.08839
49.577263,50.11323
49.613438,50.109394
50.465725,50.424335
49.07837,49.32804
40.03094,40.36078
40.680588,40.54803
49.439953,50.013626
50.877728,50.481613
40.10694,39.96285
50.079468,50.57913
49.54216,49.89166
40.658436,40.005196
48.218388,49.524616
49.724297,50.11576
49.75833,49.89452
50.119328,50.278316
43.06223,40.658806
50.279804,49.829376
40.2938,39.58597
49.4332,49.693237
48.789078,48.872707
49.740707,50.272438
39.087803,40.16774
51.045605,49.907635
48.192642,47.23035
39.392662,40.48077
49.168274,49.3503
50.040977,49.909626
50.842884,50.69447
38.46406,40.22958
40.509945,40.15205
38.550938,38.20834
50.343872,50.25543
43.47723,41.381714
38.829517,38.68699
49.80441,50.362507
50.789543,49.775734
49.30069,49.91119
49.63621,50.663284
40.540604,40.463898
50.045773,49.585133
39.68433,39.93402
50.429836,50.099697
49.940987,50.105007
50.138535,49.887028
50.80997,50.7802
39.879566,40.16701
40.002632,39.918903
40.061466,39.724583
51.068615,50.796978
50.509575,50.30259
49.8244,49.943924
50.46559,50.496056
50.952194,51.08409
40.31015,40.541195
50.08306,50.06729
40.504417,39.866676
48.976963,49.658928
49.762886,50.099606
39.869095,40.2341
50.556965,50.22379
50.312252,50.045788
41.325546,40.70911
43.118927,43.5043
49.88629,49.81088
50.498344,49.753567
49.914913,49.73829
50.15247,50.40831
39.988052,39.644043
48.461166,48.527645
50.00738,50.192524
49.75524,50.01131
40.743618,40.330765
39.604572,40.160316
37.21747,39.327568
40.072456,39.605953
40.483707,40.192978
39.52546,39.976597
40.797165,39.89348
49.470837,50.06711
50.073124,50.28263
49.597923,49.900585
48.837334,49.065914
50.11022,50.512264
40.460117,40.465206
40.258015,40.019104
49.719112,49.909306
49.587555,50.41423
50.67339,50.76798
50.22585,49.62237
50.318226,50.095257
50.86924,50.966
50.332096,50.394707
50.765903,50.14259
50.141087,49.98433
40.543198,40.52128
49.51708,49.855442
49.92079,49.35544
49.62803,50.22433
41.942417,39.229656
39.149265,39.870956
39.217205,39.645435
30.986616,32.877243
50.17871,49.920452
49.904682,49.3878
50.396027,50.35938
49.63544,49.964085
50.00372,49.639656
37.23579,37.90993
41.557728,40.587063
38.204136,39.872257
49.897633,50.084965
49.699844,50.26092
42.454987,40.79924
39.42951,40.409756
50.051403,50.161808
50.528297,50.040447
40.19122,40.065258
47.999283,48.283104
49.057064,49.52729
42.700275,43.509815
42.27708,42.89343
49.035496,48.72393
38.789295,39.350338
50.432365,50.1463
50.7574,50.789875
49.92054,50.36928
49.87566,49.980106
49.6353,49.66808
38.14305,39.19789
39.596607,40.065197
50.269653,50.40004
39.08285,39.702667
43.118786,42.893562
39.57286,39.861782
28.256573,24.721764
50.247356,50.55485
39.805397,39.245457
39.99012,40.27383
50.90981,50.5889
50.68282,50.4378
49.441746,49.16572
39.696808,39.960842
48.776783,49.220055
49.153713,49.727367
49.5499,50.53564
48.358803,49.411842
51.65806,50.809345
49.64362,49.840458
40.25962,39.962337
49.726673,49.88738
49.287926,49.374
39.324688,40.949306
40.091236,40.24159
51.036484,50.431026
38.982216,40.04896
50.065887,50.065437
39.63146,39.956066
40.601166,40.134888
49.600544,49.54317
39.624508,40.14333
49.774216,50.479496
50.465694,49.97532
48.969463,49.769665
49.129402,49.740025
46.128635,46.659924
49.85905,50.160267
39.831844,39.697018
51.043636,50.215275
50.332108,50.150562
51.152958,50.920147
49.985107,50.11377
49.558495,49.92994
39.921043,40.314976
49.91487,49.83924
49.393852,49.45352
49.61913,49.76151
